date,messages_posted,daily_active_people,channels_active,total_enabled_members,engagement_ratio
2025-08-18,2,1,2,665,0.0015037593984962407
2025-08-24,6,3,2,665,0.004511278195488722
2025-08-25,73,15,3,665,0.022556390977443608
2025-08-26,66,11,5,665,0.016541353383458645
2025-08-27,57,10,3,665,0.015037593984962405
2025-08-28,49,12,3,665,0.01804511278195489
2025-08-29,20,6,1,665,0.009022556390977444
2025-08-30,16,9,2,665,0.013533834586466165
2025-08-31,15,6,2,665,0.009022556390977444
2025-09-01,18,8,1,665,0.012030075187969926
2025-09-02,15,4,1,665,0.006015037593984963
2025-09-03,30,6,1,665,0.009022556390977444
2025-09-04,29,7,2,665,0.010526315789473684
2025-09-05,26,9,2,665,0.013533834586466165
2025-09-06,6,4,2,665,0.006015037593984963
2025-09-07,21,6,2,665,0.009022556390977444
2025-09-08,7,6,2,665,0.009022556390977444
2025-09-09,28,11,2,665,0.016541353383458645
2025-09-10,15,6,1,665,0.009022556390977444
2025-09-11,10,5,1,665,0.007518796992481203
2025-09-12,13,5,1,665,0.007518796992481203
2025-09-13,8,4,2,665,0.006015037593984963
2025-09-14,5,3,1,665,0.004511278195488722
2025-09-15,35,6,1,665,0.009022556390977444
2025-09-16,39,5,1,665,0.007518796992481203
2025-09-17,26,6,2,665,0.009022556390977444
2025-09-18,30,12,3,665,0.01804511278195489
2025-09-19,12,9,3,665,0.013533834586466165
2025-09-20,35,11,3,665,0.016541353383458645
2025-09-21,3,2,1,665,0.0030075187969924814
2025-09-22,19,5,1,665,0.007518796992481203
2025-09-23,11,2,1,665,0.0030075187969924814
2025-09-24,19,4,1,665,0.006015037593984963
2025-09-25,12,3,1,665,0.004511278195488722
2025-09-26,8,4,1,665,0.006015037593984963
2025-09-27,12,6,2,665,0.009022556390977444
2025-09-28,5,4,2,665,0.006015037593984963
2025-09-29,5,3,1,665,0.004511278195488722
2025-09-30,22,10,2,665,0.015037593984962405
2025-10-01,151,12,4,665,0.01804511278195489
2025-10-02,63,11,4,665,0.016541353383458645
2025-10-03,3,3,2,665,0.004511278195488722
2025-10-04,4,3,2,665,0.004511278195488722
2025-10-05,2,2,1,665,0.0030075187969924814
2025-10-06,4,4,2,665,0.006015037593984963
2025-10-07,12,6,2,665,0.009022556390977444
2025-10-08,1,1,1,665,0.0015037593984962407
2025-10-09,4,2,1,665,0.0030075187969924814
2025-10-10,1,1,1,665,0.0015037593984962407
2025-10-11,3,1,1,665,0.0015037593984962407
2025-10-12,4,3,1,665,0.004511278195488722
2025-10-13,4,4,1,665,0.006015037593984963
2025-10-14,736,228,23,665,0.34285714285714286
2025-10-15,11690,3551,34,665,5.33984962406015
2025-10-16,10255,2792,37,665,4.198496240601504
2025-10-17,7407,1929,40,665,2.900751879699248
2025-10-18,7017,1624,37,665,2.442105263157895
2025-10-19,4044,1222,37,665,1.8375939849624061
2025-10-20,4357,1087,37,665,1.6345864661654135
2025-10-21,3617,878,42,665,1.3203007518796992
2025-10-22,3275,868,41,665,1.305263157894737
2025-10-23,4034,1047,42,665,1.5744360902255639
2025-10-24,3776,800,42,665,1.2030075187969924
2025-10-25,3711,637,40,665,0.9578947368421052
2025-10-26,3537,680,36,665,1.0225563909774436
2025-10-27,1582,394,39,665,0.5924812030075188
2025-10-28,3251,374,38,665,0.562406015037594
2025-10-29,2275,411,33,665,0.6180451127819548
2025-10-30,2366,592,36,665,0.8902255639097745
2025-10-31,3254,404,35,665,0.6075187969924812
2025-11-01,3084,441,31,665,0.6631578947368421
2025-11-02,1824,301,31,665,0.45263157894736844
2025-11-03,1389,253,31,665,0.3804511278195489
2025-11-04,737,213,24,665,0.32030075187969925
2025-11-05,1062,266,28,665,0.4
2025-11-06,939,204,25,665,0.3067669172932331
2025-11-07,3275,406,31,665,0.6105263157894737
2025-11-08,1986,283,30,665,0.4255639097744361
2025-11-09,1194,194,27,665,0.29172932330827067
2025-11-10,1845,301,28,665,0.45263157894736844
2025-11-11,1392,211,23,665,0.3172932330827068
2025-11-12,2413,367,23,665,0.5518796992481203
2025-11-13,2141,283,40,665,0.4255639097744361
2025-11-14,1165,260,20,665,0.39097744360902253
2025-11-15,1792,300,26,665,0.45112781954887216
2025-11-16,1287,244,22,665,0.3669172932330827
2025-11-17,1288,203,19,665,0.30526315789473685
2025-11-18,1577,203,19,665,0.30526315789473685
2025-11-19,1777,191,18,665,0.28721804511278193
2025-11-20,1341,229,14,665,0.3443609022556391
2025-11-21,728,120,14,665,0.18045112781954886
2025-11-22,1352,192,17,665,0.2887218045112782
2025-11-23,722,106,15,665,0.1593984962406015
2025-11-24,901,145,22,665,0.21804511278195488
2025-11-25,618,142,23,665,0.21353383458646616
2025-11-26,1251,152,19,665,0.22857142857142856
2025-11-27,751,126,18,665,0.18947368421052632
2025-11-28,560,115,20,665,0.17293233082706766
2025-11-29,560,117,17,665,0.17593984962406015
2025-11-30,907,120,17,665,0.18045112781954886
2025-12-01,5403,276,44,665,0.4150375939849624
2025-12-02,4260,272,49,665,0.40902255639097745
2025-12-03,996,114,23,665,0.17142857142857143
2025-12-04,813,154,20,665,0.23157894736842105
2025-12-05,561,119,12,665,0.17894736842105263
2025-12-06,3132,290,18,665,0.43609022556390975
2025-12-07,865,227,15,665,0.34135338345864663
2025-12-08,930,187,18,665,0.281203007518797
2025-12-09,620,121,15,665,0.18195488721804512
